|     | node_id      | address                                                     |     lat |      lon | start_timestamp     |
|----:|:-------------|:------------------------------------------------------------|--------:|---------:|:--------------------|
|   0 | 001e0610ba46 | State St & Jackson Blvd Chicago IL                          | 41.8784 | -87.6277 | 2017/10/09 00:00:00 |
|   1 | 001e0610ba3b | 18th St & Lake Shore Dr Chicago IL                          | 41.8581 | -87.6161 | 2017/08/08 00:00:00 |
|   2 | 001e0610f02f | Lake Shore Drive & Fullerton Ave Chicago IL                 | 41.9263 | -87.6308 | 2018/05/07 00:00:00 |
|   3 | 001e0610ba8f | Cornell & 47th St Chicago IL                                | 41.8103 | -87.5902 | 2017/08/08 00:00:00 |
|   4 | 001e0610ba16 | Homan Ave & Roosevelt Rd Chicago IL                         | 41.8663 | -87.7105 | 2018/07/18 00:00:00 |
|   5 | 001e06107e5d | State St & Washington St Chicago IL                         | 41.8832 | -87.6278 | 2016/09/14 00:00:00 |
|   6 | 001e0610ba8b | Stony Island Ave & 63rd St Chicago IL                       | 41.7806 | -87.5865 | 2018/02/26 00:00:00 |
|   7 | 001e0610ba13 | 7801 S Lawndale Ave Chicago IL                              | 41.7512 | -87.713  | 2018/01/01 00:00:00 |
|   8 | 001e0610ba18 | Damen Ave & Cermak Chicago IL                               | 41.8522 | -87.6758 | 2017/12/15 00:00:00 |
|   9 | 001e0610bc10 | State St & 87th Chicago IL                                  | 41.7363 | -87.6242 | 2018/02/22 00:00:00 |
|  10 | 001e0610bbf9 | Western Ave & 69th St Chicago IL                            | 41.7683 | -87.6834 | 2018/02/13 00:00:00 |
|  11 | 001e0610bbff | Western Ave & 18th St Chicago IL                            | 41.8578 | -87.6858 | 2017/12/15 00:00:00 |
|  12 | 001e0610b9e7 | Western Blvd & 35th St Chicago IL                           | 41.8304 | -87.6849 | 2017/02/02 00:00:00 |
|  13 | 001e0610ba15 | Jeffrey Ave & 95th St Chicago IL                            | 41.7225 | -87.5754 | 2018/02/22 00:00:00 |
|  14 | 001e0610bbe5 | Martin Luther King Dr & 87th St Chicago IL                  | 41.7365 | -87.6145 | 2018/02/16 00:00:00 |
|  15 | 001e0610ee33 | Damen Ave & Wilson Ave Chicago IL                           | 41.9651 | -87.6791 | 2018/02/15 00:00:00 |
|  16 | 001e0610b9e5 | Sheridan Rd & Granville Ave Chicago IL                      | 41.9946 | -87.6555 | 2017/11/28 00:00:00 |
|  17 | 001e0610f8f4 | Halsted St & 34th St Chicago IL                             | 41.8326 | -87.6461 | 2018/02/13 00:00:00 |
|  18 | 001e0610ee41 | Wood St & Warren Blv Chicago IL                             | 41.8823 | -87.6718 | 2017/12/01 00:00:00 |
|  19 | 001e0610eef4 | Milwaukee Ave & Wabansia Ave Chicago IL                     | 41.9127 | -87.6811 | 2017/10/09 00:00:00 |
|  20 | 001e0610ef29 | Martin Luther King Dr & 83rd St Chicago IL                  | 41.7438 | -87.6147 | 2018/02/16 00:00:00 |
|  21 | 001e0610f668 | Damen Ave & Archer Chicago IL                               | 41.8318 | -87.6753 | 2017/12/15 00:00:00 |
|  22 | 001e0610f730 | Campbell Ave & Addison St Chicago IL                        | 41.9467 | -87.6907 | 2017/03/31 00:00:00 |
